192.168.65.1 - - [15/Oct/2023:09:06:52 +0000] "GET /admin/settings HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2Fcoding_rules" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [15/Oct/2023:09:06:52 +0000] "GET /js/out6SLMQM3Z.css HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [15/Oct/2023:09:06:52 +0000] "GET /js/outOHS6YPPT.js HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [15/Oct/2023:09:06:52 +0000] "GET /favicon.ico HTTP/1.1" 200 5430 "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [15/Oct/2023:09:06:52 +0000] "GET /api/l10n/index?locale=en-US HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [15/Oct/2023:09:06:52 +0000] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2Fadmin%2Fsettings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [15/Oct/2023:09:06:58 +0000] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2Fadmin%2Fsettings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAA"
192.168.65.1 - - [15/Oct/2023:09:06:59 +0000] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAB"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /admin/settings HTTP/1.1" 200 - "http://localhost:9000/maintenance?return_to=%2F" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAC"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /api/users/current HTTP/1.1" 401 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAD"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /api/navigation/global HTTP/1.1" 401 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAF"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /api/features/list HTTP/1.1" 401 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAG"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /api/l10n/index?locale=en-US HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAE"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /sessions/new?return_to=%2Fadmin%2Fsettings HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAH"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /api/l10n/index?locale=en-US HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2Fadmin%2Fsettings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAI"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /api/settings/login_message HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2Fadmin%2Fsettings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAJ"
192.168.65.1 - - [15/Oct/2023:09:07:00 +0000] "GET /api/users/identity_providers HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2Fadmin%2Fsettings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAK"
192.168.65.1 - - [15/Oct/2023:09:07:07 +0000] "POST /api/authentication/login HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2Fadmin%2Fsettings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAL"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /admin/settings HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2Fadmin%2Fsettings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAM"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/features/list HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAQ"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/l10n/index?locale=en-US HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAO"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/users/current HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAN"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/navigation/global HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAP"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/system/status HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAW"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/navigation/settings HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAS"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/languages/list HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAY"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAX"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/metrics/search?ps=500 HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAV"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/settings/list_definitions? HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAT"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /fonts/Inter/Inter-SemiBold.woff2 HTTP/1.1" 200 105804 "http://localhost:9000/js/out6SLMQM3Z.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAa"
